Feature,Classifier,Accuracy,Precision,Recall,F1
tfidf,nb,0.32377656945130995,0.35730431866268436,0.32377656945130995,0.3293988333537135
tfidf,rf,0.5299060800790905,0.5806000201824248,0.5299060800790905,0.4716234079585859
tfidf,xgb,0.5546218487394958,0.5389480512592425,0.5546218487394958,0.5266895211973549
tfidf,logreg,0.5936727632229363,0.562081022324229,0.5936727632229363,0.5621282170783037
tfidf,lgbm,0.5743944636678201,0.5592293883275844,0.5743944636678201,0.5514082587823345
tfidf,svm,0.5383094414236282,0.5230931096534639,0.5383094414236282,0.46806723100106984
tfidf,svm_linear,0.5813148788927336,0.559275708999371,0.5813148788927336,0.5546553898362474
tfidf,voting,0.601581809194266,0.58908279422314,0.601581809194266,0.5764407696118327
word2vec,nb,0.36875926841324763,0.5163783760923832,0.36875926841324763,0.4139945859418529
word2vec,rf,0.5501730103806228,0.5476889770446041,0.5501730103806228,0.4995149093950178
word2vec,xgb,0.5610479485912012,0.5467915183596533,0.5610479485912012,0.5389874208920487
word2vec,logreg,0.5763717251606525,0.5651735568276185,0.5763717251606525,0.5576179872997512
word2vec,lgbm,0.5758774097874444,0.5617863899710825,0.5758774097874444,0.5556941561546392
word2vec,svm,0.4844290657439446,0.3854764940962919,0.4844290657439446,0.4203093256057506
word2vec,svm_linear,0.5857637172516065,0.571373229199406,0.5857637172516065,0.5655578875193424
word2vec,voting,0.5827978250123579,0.5739069710596214,0.5827978250123579,0.5546926193793161
doc2vec,nb,0.3766683143845774,0.4876799578712188,0.3766683143845774,0.3934552084981872
doc2vec,rf,0.5215027187345527,0.5003549475363501,0.5215027187345527,0.46465928542899526
doc2vec,xgb,0.5516559565002471,0.5279821709703977,0.5516559565002471,0.52701564597548
doc2vec,logreg,0.5640138408304498,0.555199242673743,0.5640138408304498,0.5543955423543371
doc2vec,lgbm,0.5590706870983687,0.5342274079393525,0.5590706870983687,0.5345210308194677
doc2vec,svm,0.5378151260504201,0.47547446876874555,0.5378151260504201,0.4741451268698959
doc2vec,svm_linear,0.5654967869500741,0.5526007313844896,0.5654967869500741,0.5531926906107695
doc2vec,voting,0.5748887790410282,0.5551325313578305,0.5748887790410282,0.553902942025196
sbert,nb,0.4434008897676718,0.5502601262305616,0.4434008897676718,0.47052584312050494
sbert,rf,0.5729115175481958,0.5484648684372316,0.5729115175481958,0.5154436152357827
sbert,xgb,0.6258032624814631,0.61054222331641,0.6258032624814631,0.6098840694335232
sbert,logreg,0.6515076618882847,0.6411988266797265,0.6515076618882847,0.6402511905519898
sbert,lgbm,0.6223430548690064,0.6084658429379687,0.6223430548690064,0.6059742603331094
sbert,svm,0.6559565002471577,0.6453678452746073,0.6559565002471577,0.6439011800996421
sbert,svm_linear,0.6505190311418685,0.6407011445607353,0.6505190311418685,0.6396444315765419
sbert,voting,0.6490360850222442,0.6374544089206968,0.6490360850222442,0.6370796683238665
